,country_or_area,exports,gross demand,gross production,imports,total geothermal production,total hydro production,"total production, autoproducer","total production, main activity",total solar production,"total tide, wave production",total wind production,total RE production,RE production %,RE production to demand %,sub
75,Gabon,0.0,2076.0,2151.0,0.0,0.0,908.0,185.0,1966.0,3.0,0.0,0.0,911.0,42.35239423523942,43.882466281310215,1.5300720460707922
76,Gambia,0.0,245.1,266.3,0.0,0.0,0.0,30.8,235.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Georgia,528.0,9559.0,9698.0,615.0,0.0,7221.0,0.0,9698.0,0.0,0.0,0.0,7221.0,74.45865126830275,75.54137462077624,1.0827233524734936
78,Germany,66810.0,564077.0,629812.0,46268.0,25.0,27849.0,44094.0,585718.0,26380.0,0.0,50670.0,54254.0,8.6143166532235,9.618190424356959,1.003873771133458
79,Ghana,667.0,11485.0,12204.0,128.0,0.0,8071.0,180.0,12024.0,0.0,0.0,0.0,8071.0,66.1340544083907,70.27427078798432,4.140216379593625
80,Gibraltar,0.0,172.0,176.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Greece,4169.0,55170.0,60959.0,5954.0,0.0,4591.0,2351.0,58608.0,1694.0,0.0,3850.0,6285.0,10.310208500795618,11.392060902664491,1.0818524018688738
82,Greenland,0.0,317.2917,573.9307,0.0,0.0,344.5633,114.6837,459.247,0.0,0.0,0.0,344.5633,60.03569768963396,108.5951192546165,48.55942156498254
83,Grenada,0.0,192.96,199.7,0.0,0.0,0.0,0.0,199.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Guadeloupe,0.0,1726.0,1817.0,0.0,50.0,14.0,0.0,1817.0,91.0,0.0,52.0,155.0,8.5305448541552,8.980301274623406,0.44975642046820496
85,Guam,0.0,1690.0,1799.0,0.0,0.0,0.0,0.0,1799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Guatemala,346.0,8968.4,9335.4,372.0,246.0,4458.6,633.7,8701.7,0.0,0.0,0.0,4704.6,50.39526961887011,52.45751750590964,2.0622478870395327
87,Guernsey,0.0,380.8,68.1,312.7,0.0,0.0,0.0,68.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Guinea,0.0,963.0,1071.2,0.0,0.0,491.0,342.2,729.0,0.0,0.0,0.0,491.0,45.836445108289766,50.9865005192108,5.150055410921034
89,Guinea-Bissau,0.0,34.25,34.25,0.0,0.0,0.0,7.82,26.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Guyana,0.0,814.9,942.4,0.0,0.0,0.0,284.8,657.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Haiti,0.0,1072.0,1100.0,0.0,0.0,221.0,48.0,1052.0,0.0,0.0,0.0,221.0,20.09090909090909,20.615671641791046,0.524762550881956
92,Honduras,79.0,7577.0,7740.0,154.0,0.0,2787.0,509.0,7231.0,0.0,0.0,338.0,2787.0,36.007751937984494,36.78236769169856,0.7746157537140661
93,Hungary,9003.0,40318.0,34635.0,16970.0,0.0,213.0,516.0,34119.0,8.0,0.0,770.0,221.0,0.6380828641547568,0.5481422689617541,-0.08994059519300268
94,Iceland,0.0,17026.0,17549.0,0.0,5209.0,12337.0,0.0,17549.0,0.0,0.0,0.0,17546.0,99.98290500883242,103.05415247268883,3.071247463856409
95,India,0.0,983178.0,1035264.0,5152.0,0.0,113855.0,128401.0,906863.0,0.0,0.0,28365.0,113855.0,10.997677886993076,11.580303871730246,0.5826259847371702
96,Indonesia,0.0,192830.0,196180.9,2440.0,9417.0,12799.0,40566.0,155614.9,2.9,0.0,5.0,22218.9,11.325720291832692,11.522532800912721,0.19681250908002923
97,Iran (Islamic Rep. of),11029.0,238586.0,254276.06,3897.0,0.0,12447.0,10740.0,243536.06,0.06,0.0,207.0,12447.06,4.895097084641,5.217011895081857,0.3219148104408571
98,Iraq,0.0,54815.0,46018.0,10170.0,0.0,4392.0,0.0,46018.0,0.0,0.0,0.0,4392.0,9.54409144247903,8.012405363495393,-1.5316860789836362
99,Ireland,370.0,26545.0,27600.0,784.0,0.0,1014.0,2126.0,25474.0,1.0,0.0,4010.0,1015.0,3.6775362318840576,3.8236956112262197,0.14615937934216205
100,Isle of Man,48.0,427.8,295.9,179.9,0.0,4.4,0.0,295.9,0.0,0.0,0.0,4.4,1.4869888475836435,1.0285179990649838,-0.4584708485186597
101,Israel,4434.0,53317.0,63003.0,0.0,0.0,33.0,1515.0,61488.0,369.0,0.0,6.0,402.0,0.6380648540545688,0.7539809066526624,0.11591605259809357
102,Italy,2304.0,328216.0,299277.0,45407.0,5592.0,43854.0,16057.0,283220.0,18862.0,0.0,13407.0,68308.0,22.824339992715778,20.81190435566822,-2.0124356370475596
103,Jamaica,0.0,4112.7,4156.2,0.0,0.0,150.7,1541.5,2614.7,0.0,0.0,108.0,150.7,3.6259082816033876,3.664259488900236,0.038351207296848155
104,Japan,0.0,1012110.0,1064065.0,0.0,2609.0,83645.0,163002.0,901063.0,6963.0,0.0,4722.0,93217.0,8.760461062059179,9.210164903024374,0.44970384096519567
105,Jersey,0.0,724.2,60.2,681.2,0.0,0.0,43.3,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Jordan,104.0,16657.0,16596.0,784.0,0.0,61.0,241.0,16355.0,0.0,0.0,3.0,61.0,0.3675584478187515,0.36621240319385245,-0.0013460446248990676
107,Kazakhstan,2933.0,82269.0,92817.0,4252.0,0.0,7637.0,0.0,92817.0,0.0,0.0,3.0,7637.0,8.228018574183608,9.282961990543217,1.0549434163596096
108,Kenya,32.7,7818.6,7851.6,39.1,1515.9,4015.9,0.0,7851.6,0.0,0.0,14.4,5531.8,70.45442967038565,70.75179699690482,0.297367326519165
109,Kiribati,0.0,22.7,24.1,0.0,0.0,0.0,0.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,"Korea, Dem.Ppl's.Rep.",0.0,17411.0,19236.0,0.0,0.0,13500.0,0.0,19236.0,0.0,0.0,0.0,13500.0,70.18091079226451,77.53718913330653,7.356278341042014
111,"Korea, Republic of",0.0,509557.0,534618.0,0.0,0.0,7652.0,30958.0,503660.0,1103.0,0.0,917.0,8755.0,1.6376178879124907,1.718159106832013,0.08054121891952226
112,Kuwait,0.0,55078.0,62655.0,0.0,0.0,0.0,0.0,62655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Kyrgyzstan,1840.0,13270.0,15168.0,177.0,0.0,14179.0,0.0,15168.0,0.0,0.0,0.0,14179.0,93.479694092827,106.85003767897514,13.370343586148138
