,country_or_area,exports,gross demand,gross production,imports,total geothermal production,total hydro production,"total production, autoproducer","total production, main activity",total solar production,"total tide, wave production",total wind production,total RE production,RE production %,RE production to demand %,sub
165,Puerto Rico,0.0,21453.6,22555.6,0.0,0.0,124.8,250.0,22305.6,2.1,0.0,0.0,126.89999999999999,0.5626097288478249,0.5915091173509341,0.028899388503109247
166,Qatar,0.0,32351.0,34787.0,0.0,0.0,0.0,31799.0,2988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Republic of Moldova,0.0,4082.0,932.0,3279.0,0.0,34.0,32.0,900.0,0.0,0.0,0.0,34.0,3.648068669527897,0.8329250367466928,-2.8151436327812043
168,Romania,3650.0,53595.0,59045.0,3903.0,0.0,12337.0,4252.0,54793.0,8.0,0.0,2640.0,12345.0,20.907782200016936,23.033865099356284,2.126082899339348
169,Russian Federation,19143.0,982820.0,1070734.0,2661.0,477.0,167319.0,67181.0,1003553.0,0.0,0.0,5.0,167796.0,15.671119064118633,17.072912639140434,1.4017935750218005
170,Rwanda,2.9,457.0,393.0,90.8,0.0,181.5,0.0,393.0,0.3,0.0,0.0,181.8,46.25954198473283,39.78118161925602,-6.47836036547681
171,Réunion,0.0,2811.7,2811.7,0.0,0.0,488.4,0.0,2811.7,190.7,0.0,18.6,679.0999999999999,24.15264786428139,24.15264786428139,0.0
172,Samoa,0.0,116.7,117.2,0.0,0.0,36.8,5.0,112.2,0.0,0.0,0.0,36.8,31.39931740614334,31.53384747215081,0.1345300660074713
173,Sao Tome and Principe,0.0,67.0,67.0,0.0,0.0,7.0,0.0,67.0,0.0,0.0,0.0,7.0,10.44776119402985,10.44776119402985,0.0
174,Saudi Arabia,0.0,264854.0,271680.0,0.0,0.0,0.0,64548.0,207132.0,1.0,0.0,0.0,1.0,0.00036808009422850414,0.00037756650834044414,9.486414111940008e-06
175,Senegal,0.0,3166.0,2917.0,290.0,0.0,0.0,1496.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Serbia,5392.0,33717.0,36799.0,5781.0,0.0,9914.0,171.0,36628.0,0.0,0.0,0.0,9914.0,26.94094948232289,29.403564967227215,2.462615484904326
177,Seychelles,0.0,327.26,336.46,0.0,0.0,0.0,0.0,336.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Sierra Leone,0.0,178.21,178.67,0.0,0.0,118.1,0.0,178.67,0.0,0.0,0.0,118.1,66.09951306878602,66.27013074462712,0.17061767584110044
179,Singapore,0.0,45661.0,46971.25,0.0,0.0,0.0,1774.75,45196.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Sint Maarten (Dutch part),0.0,401.7,401.7,0.0,0.0,0.0,0.0,401.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Slovakia,13079.0,26154.0,28664.0,13472.0,0.0,4439.0,2536.0,26128.0,424.0,0.0,6.0,4863.0,16.965531677365338,18.59371415462262,1.6281824772572833
182,Slovenia,8491.0,13415.0,15736.0,7452.0,0.0,4087.0,534.0,15202.0,163.0,0.0,0.0,4250.0,27.008134214539908,31.68095415579575,4.672819941255842
183,Solomon Islands,0.0,81.3,83.3,0.0,0.0,0.0,8.0,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Somalia,0.0,340.0,340.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,South Africa,15035.0,234174.0,257919.0,10006.0,0.0,4211.0,10403.0,247516.0,39.0,0.0,37.0,4250.0,1.647804155568221,1.814889782811072,0.16708562724285092
186,South Sudan,0.0,427.0,445.0,0.0,0.0,0.0,234.0,211.0,2.0,0.0,0.0,2.0,0.44943820224719105,0.468384074941452,0.018945872694260957
187,Spain,18986.0,270350.0,297559.0,7787.0,0.0,24162.0,41427.0,256132.0,11968.0,0.0,49472.0,36130.0,12.142129796107664,13.364157573515815,1.222027777408151
188,Sri Lanka,0.0,11600.7,11897.006,0.0,0.0,3302.0,18.206,11878.8,9.6,0.0,146.806,3311.6,27.835574765617498,28.546553225236405,0.7109784596189073
189,St. Helena and Depend.,0.0,9.35,9.66,0.0,0.0,0.0,0.0,9.66,0.01,0.0,0.87,0.01,0.10351966873706005,0.10695187165775401,0.003432202920693961
190,St. Kitts-Nevis,0.0,217.6,217.8,0.0,0.0,0.0,0.8,217.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0
191,St. Lucia,0.0,370.272,384.783,0.0,0.0,0.0,0.0,384.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,St. Pierre-Miquelon,0.0,43.47,43.47,0.0,0.0,0.0,0.0,43.47,0.0,0.0,0.87,0.0,0.0,0.0,0.0
193,St. Vincent-Grenadines,0.0,141.21,145.28,0.0,0.0,31.24,0.0,145.28,0.0,0.0,0.0,31.24,21.50330396475771,22.123079102046596,0.6197751372888867
194,State of Palestine,0.0,5370.4,461.1,4909.3,0.0,0.0,0.0,461.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Sudan,0.0,9404.0,9510.0,0.0,0.0,6619.0,74.0,9436.0,0.0,0.0,0.0,6619.0,69.60042060988432,70.38494257762655,0.7845219677422222
196,Suriname,0.0,1938.9,1972.4,0.0,0.0,998.0,1446.0,526.4,0.0,0.0,0.0,998.0,50.59825593185966,51.47248439837021,0.8742284665105515
197,Swaziland,0.0,1420.4,621.8,813.4,0.0,272.3,342.0,279.8,0.0,0.0,0.0,272.3,43.79221614667096,19.170656153196283,-24.621559993474676
198,Sweden,31255.0,141284.0,166562.0,11682.0,0.0,79058.0,6350.0,160212.0,19.0,0.0,7165.0,79077.0,47.476014937380675,55.97024433056822,8.494229393187545
199,Switzerland,33749.0,63586.0,69893.0,31549.0,0.0,40305.0,6065.0,63828.0,320.0,0.0,88.0,40625.0,58.124561830226206,63.88984996697387,5.765288136747664
200,Syrian Arab Republic,0.0,27624.0,31188.0,0.0,0.0,3237.0,752.0,30436.0,0.0,0.0,0.0,3237.0,10.378991919969218,11.718071242397915,1.339079322428697
201,T.F.Yug.Rep. Macedonia,72.0,8466.0,6262.0,2741.0,0.0,1041.0,2.0,6260.0,3.0,0.0,0.0,1044.0,16.67198977962312,12.331679659815734,-4.340310119807388
202,Tajikistan,775.0,16246.0,16998.0,114.0,0.0,16924.0,0.0,16998.0,0.0,0.0,0.0,16924.0,99.56465466525474,104.17333497476302,4.608680309508287
203,Thailand,1912.0,169090.0,166471.0,10527.0,1.0,8431.0,15134.0,151337.0,23.0,0.0,3.0,8455.0,5.078962702212397,5.000295700514519,-0.07866700169787855
204,Timor-Leste,0.0,126.0,126.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Togo,0.0,1067.9,399.4,679.3,0.0,165.1,11.0,388.4,0.0,0.0,0.0,165.1,41.33700550826239,15.460249086993164,-25.876756421269228
206,Tonga,0.0,50.39,52.39,0.0,0.0,0.0,0.0,52.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Trinidad and Tobago,0.0,8800.0,9132.0,0.0,0.0,0.0,75.0,9057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Tunisia,426.0,17370.0,18059.4,384.0,0.0,110.0,634.4,17425.0,3.4,0.0,196.0,113.4,0.6279278381341573,0.6528497409326426,0.024921902798485274
209,Turkey,2954.0,230580.0,239496.0,5827.0,899.0,57865.0,13254.0,226242.0,0.0,0.0,5860.0,58764.0,24.536526706082775,25.48529794431434,0.948771238231565
210,Turkmenistan,2720.0,13689.0,17750.0,0.0,0.0,0.0,0.0,17750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Turks and Caicos Islands,0.0,218.9,227.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Tuvalu,0.0,5.1,5.1,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Uganda,90.8,2472.5,2639.7,37.0,0.0,1724.8,86.9,2552.8,0.0,0.0,0.0,1724.8,65.34075841951737,69.75935288169869,4.418594462181318
214,Ukraine,11560.0,171930.0,198878.0,93.0,0.0,10994.0,3773.0,195105.0,333.0,0.0,288.0,11327.0,5.695451482818612,6.588146338626186,0.8926948558075738
215,United Arab Emirates,34.0,101436.0,106222.0,16.0,0.0,0.0,0.0,106222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,United Kingdom,1872.0,353504.0,363582.0,13743.0,0.0,8252.0,41172.0,322410.0,1352.0,4.0,19835.0,9608.0,2.6425950679626604,2.7179324703539423,0.07533740239128184
217,United Rep. of Tanzania,0.0,5650.0,5589.0,61.0,0.0,1767.0,13.0,5576.0,13.0,0.0,0.0,1780.0,31.848273394167116,31.504424778761063,-0.3438486154060527
218,United States,11995.0,4099686.0,4290660.0,59257.0,18135.0,298287.0,174097.0,4116563.0,10145.0,0.0,141922.0,326567.0,7.611113441754881,7.9656588333838245,0.3545453916289434
219,United States Virgin Is.,0.0,786.9,872.857,0.0,0.0,0.0,0.657,872.2,0.657,0.0,0.0,0.657,0.07527006141899532,0.08349218452154022,0.008222123102544901
220,Uruguay,19.7,11040.8,10600.8,741.9,0.0,5420.9,866.5,9734.3,0.0,0.0,117.8,5420.9,51.13670666364803,49.098797188609524,-2.0379094750385036
221,Uzbekistan,12435.0,49597.0,52500.0,12524.0,0.0,11210.0,193.0,52307.0,0.0,0.0,0.0,11210.0,21.352380952380955,22.60217351855959,1.249792566178634
222,Vanuatu,0.0,65.23,67.35,0.0,0.0,7.25,0.0,67.35,0.2,0.0,2.9,7.45,11.061618411284337,11.421125249118504,0.35950683783416615
223,Venezuela (Bolivar. Rep.),0.0,116614.0,121653.0,480.0,0.0,82008.0,1459.0,120194.0,0.0,0.0,0.0,82008.0,67.41140785677295,70.32431783490833,2.9129099781353744
224,Viet Nam,29.0,115067.0,118940.0,159.0,0.0,53172.0,3703.0,115237.0,0.0,0.0,92.0,53172.0,44.704893223474016,46.20959962456656,1.504706401092541
225,Wallis and Futuna Is.,0.0,16.656,18.983,0.0,0.0,0.0,0.0,18.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Yemen,0.0,6493.0,7073.0,0.0,0.0,0.0,346.0,6727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,Zambia,980.0,11264.0,12368.0,163.0,0.0,12350.0,0.0,12368.0,0.0,0.0,0.0,12350.0,99.85446313065977,109.64133522727273,9.786872096612967
228,Zimbabwe,700.9,9425.2,9148.6,1076.1,0.0,5387.3,186.0,8962.6,0.0,0.0,0.0,5387.3,58.88660560085695,57.15846878580826,-1.7281368150486927
